번호, 기사 제목, 기사 요약, 링크
0, 비용 절감 시대...사람 대신할 AI·자동화 기술 실전 투입 확산, [디지털투데이 황치규 기자]경기 위축 속에 기업들 IT 투자도 보수적으로 바뀌었지만 가급적 사람을 안 쓰고도 생산성을 강화하거나 성장을 지원하는..., https://www.digitaltoday.co.kr/news/articleView.html?idxno=469700
1, '오아시스' 흑자 비결은 물류 자동화… e커머스 1호 상장 시동, "오아시스의 캐치프라이즈는 '사랑 받는 오아시스'다. 단기보다는 중장기적으로 성장해나가며 많은 분들에게 사랑 받는 오아시스가 되기 위해 최선을..., https://it.chosun.com/site/data/html_dir/2023/02/08/2023020802317.html
2, 한국네트웍스 hy에 물류 자동화 솔루션 공급, 쿠팡의 로켓배송 비결은 물류센터를 누비는 로봇을 비롯한 자동화 덕분이다. 지난 2일 외부에 처음 공개된 쿠팡 대구풀필먼트센터(대구FC)는 로켓배송..., https://www.yna.co.kr/view/AKR20230207048900003
3, 한국네트웍스 hy 논산 물류센터에 자동화 솔루션 공급, [파이낸셜뉴스] 쿠팡의 로켓배송이 더 빠르고 편해질 전망이다. 수도권 뿐만 아니라 영호남권에서도 당일 혹은 익일 배송받아 볼 수 있는 품목이 더..., https://www.getnews.co.kr/news/articleView.html?idxno=615546
4, 한국네트웍스 hy에 120억 규모 `물류 자동화 시스템` 구축, GC녹십자는 9일 충북 오창 '통합완제관'이 세계보건기구(WHO)의 사전적격성평가(PQ Pre-Qualification) 인증을 받았다고 밝혔다., http://www.dt.co.kr/contents.html?article_no=2023020702109932031008
5, 쿠팡 물류센터 누비는 로봇…로켓배송 비결은 '자동화', 광양제철소가 제강(고로에서 생산된 쇳물의 불순물을 제거하는 과정) 공정의 시각을 자동적으로 관리해주는 스케줄러 시스템인 P..., https://www.etnews.com/20230207000264
6, [현장르포] 분류부터 운반까지 로봇 자동화... 로켓배송 더 빨라진다, [편집자주] 스타트업(start-up)은 특정한 문제를 해결하기 위해서 '시작하는' 기업을 말합니다. 기업의 생사가 걸려있는 만큼 스타트업은 문제에 대한..., https://www.fnnews.com/news/202302061421449157
7, GC녹십자 ‘오창 통합완제관’ WHO 인증… 공정 자동화 실현, 쿠팡 지난해 3월 최첨단 자동화 물류 센터 준공 / 전국 물류 센터 백여 개…지난해 처음 분기 흑자 / 이커머스 '총알 배송' 경쟁…, https://www.donga.com/news/It/article/all/20230209/117806463/1
8, 광양제철소 제강 공정 시각 관리 자동화 PTX 시스템 독자 개발 - 서울경제, 대부분의 현대적인 프로그래밍 언어는 가비지 컬렉션(garbage collection 쓰레기 수집)을 사용한다. 가비지 컬렉션 알고리즘의 개념을., https://www.sedaily.com/NewsView/29LO7JFU7C
9, [스타트업 리뷰] 리눅스·윈도 등 IT장비 비밀번호 변경 RPA로 자동화한다 인포플라의 아이톰스, 유진로봇이 오는 2023년 3월 8일부터 10일까지 서울 코엑스에서 열리는 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023 이하 SF+AW..., https://www.donga.com/news/It/article/all/20230208/117796392/1
10, 총성 없는 '총알 배송' 전쟁...물류 자동화 경쟁 치열, 한편 PI는 산업 자동화 반도체 산업 포토닉스 현미경 생명과학 등 분야에서의 고정밀 포지셔닝 기술과 피에조 애플리케이션의 시장 및 기술 선두주자..., https://www.ytn.co.kr/_ln/0102_202302071028094681
11, "자동화된 메모리 관리" 가비지 컬렉션의 이해, AI 엔진과 자동화 앞세워 뛰어난 사용성과 비용 절감에 주목. 베스핀글로벌이 2일인 오늘 양재 엘타워에서 기자간담회를 열고 클라우드 운영 관리의..., https://www.itworld.co.kr/news/276625
12, [SF+AW 2023 PREVIEW] 유진로봇 스마트팩토리 자동화를 ..., 극미량의 시료에서 암 세포 분리 자동화 장비 개발 . 손가락 하나정도의 양인 9 CC..., https://www.hellot.net/news/article.html?no=74950
13, PI 자동차 산업 자동화 프로젝트 전문기업 IBS Ingenieurbüro 인수, 이와 함께 다양한 자동화 솔루션을 공급하며 시장을 선도하기 위한 역량을 강화하고 있다., https://www.industrynews.co.kr/news/articleView.html?idxno=48780
14, 옵스나우360 발표한 베스핀글로벌 “AI와 자동화로 강해졌다”, 물류자동화를 완성할 최종단계라 일컬어지는 포장 자동화 분야에서 글로벌 선두주자 역할을 하고 있는 CMC가 신규 모델을 선보여 주목된다., https://www.hellot.net/mobile/article.html?no=74817
15, 클리노믹스 암 탐지용 액체생검 자동화 기기 발표, 호가 단위 변경 자동화 안내. 안녕하세요 코인원 입니다. 코인원 주문 호가 단위 관련 변경사항을 안내드립니다. 해당내용은 2023년 2월 15일 점검..., http://www.pharmnews.com/news/articleView.html?idxno=217943
16, [세미콘코리아] 바이드뮬러 “지속적인 연구개발이 결선 및 ..., hy 관계자는 "자동화 설비 구축이 완료되면 기존 물류센터 대비 출고 처리능력(Capa)이 2배 증가해 작업시간 단축 및 물류센터 운영인력이 30% 감소..., http://www.kidd.co.kr/news/231273
17, 포장자동화 솔루션 CMC CARTONWRAP 신규 모델 선보여, 시에 따르면 우선 입상활성탄을 이용해 숯으로 한 번 더 거른 세계 최고품질 수돗물 생산을 위해 200억원을 투입하는 등 정수시설 확충과 스마트 자동화..., https://www.klnews.co.kr/news/articleView.html?idxno=307016
18, 호가 단위 변경 자동화 안내, LS일렉트릭이 글로벌 시험인증기관 'TUV SUD'로부터 국내 기업 최초로 PLC 인버터 등 산업 자동화 제품 개발 프로세스 등에 대한 'IEC 62443-4-1..., https://coinone.co.kr/info/notice/2047
19, 한국네트웍스 hy에 '120억 규모' 물류 자동화 솔루션 공급, 제우스가 오는 2023년 3월 8일부터 10일까지 서울 코엑스에서 열리는 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023 이하 SF+AW..., https://digitalchosun.dizzo.com/site/data/html_dir/2023/02/07/2023020780183.html
20, 서울시 상수도 스마트 자동화 구축 등 5천283억 투자, 특히 올해는 자동화에 필요한 측정 비전 인공지능 등의 기술이 본격적 ... Q. 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023..., https://www.ikld.kr/news/articleView.html?idxno=269251
21, LS일렉트릭 국내 최초로 산업자동화 R&D 보안 국제인증 획득, 글로벌 전자 설계 자동화(EDA) 시장 동향 및 2031년 분석 케이던스 디자인 시스템 멘토 그래픽스(Siemen) 시놉시스. Mohit 2월 9 2023 1 min read., https://news.mt.co.kr/mtview.php?no=2023020608475673829
22, [SF+AW 2023 PREVIEW] 제우스 공정 자동화 가능한 협동 로봇 ..., '각종 자동화 시스템'은 반도체 및 디스플레이 공정에 필요한 유해 화학약품을 취급하는 작업을 기계에 의해 자동화함으로써 작업자의 화학약품 접촉 작업..., https://www.hellot.net/news/article.html?no=74727
23, [SF+AW 2023 참가업체 인터뷰] 오은송 딥인사이트 대표 “3D ..., 한국IBM “하이브리드 클라우드 및 AI 기반 자동화 기술로 국내 사업 성장 가속화할 것”. 편집부 | ITWorld. 1일 전. 한국IBM은 2월 7일 2023년 신년 기자간담회를 개최..., https://www.hellot.net/mobile/article.html?no=74750
24, 글로벌 전자 설계 자동화(EDA) 시장 동향 및 2031년 분석 ..., 결과적으로 마케팅 자동화 소프트웨어 시장 보고서는 다양한 지역의 고객 공급업체 및 구매자의 지속적으로 진화하는 요구를 묘사하며 특정 시장을 타겟팅하고 글로벌..., https://www.kyeonginedu.com/news-%EB%AC%B8%ED%99%94%E8%A1%97/%EA%B8%80%EB%A1%9C%EB%B2%8C-%EC%A0%84%EC%9E%90-%EC%84%A4%EA%B3%84-%EC%9E%90%EB%8F%99%ED%99%94eda-%EC%8B%9C%EC%9E%A5-%EB%8F%99%ED%96%A5-%EB%B0%8F-2031%EB%85%84-%EB%B6%84%EC%84%9D-%EC%BC%80%EC%9D%B4/5738/
25, 에스티아이 '각종 자동화 시스템' 개발 완료, 일본은 노인 돌봄의 자동화를 선도하는 국가로 위 사진 속에 보이는 유명한 프로토타입 돌봄 로봇 '로베어'도 일본에서 개발된 기기 중 하나이다. 물론..., https://www.koit.co.kr/news/articleView.html?idxno=108946
26, 한국IBM “하이브리드 클라우드 및 AI 기반 자동화 기술로 국내 ..., 지비드가 오는 2023년 3월 8일부터 10일까지 서울 코엑스에서 열리는 스마트공장·자동화산업전 2023(Smart Factory+Automation World 2023..., https://www.itworld.co.kr/news/276505
27, 마케팅 자동화 소프트웨어 시장 2023 최신 발전 및 글로벌 전망 ..., 자율 모바일 로봇 및 자동 가이드 차량 제조업체 Geek+가 곧 출시되는 스마트 물류 플랫폼 자동화를 위해 Boomi사와 손잡았다., https://www.kyeonginedu.com/news/%EB%A7%88%EC%BC%80%ED%8C%85-%EC%9E%90%EB%8F%99%ED%99%94-%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4-%EC%8B%9C%EC%9E%A5-2023-%EC%B5%9C%EC%8B%A0-%EB%B0%9C%EC%A0%84-%EB%B0%8F-%EA%B8%80%EB%A1%9C/5243/
28, 노인 돌봄을 자동화하려는 일본의 오랜 실험의 인사이드 스토리, 로보아르테(대표 강지영)는 직접 개발한 조리 자동화 로봇을 미국 북동부 오하이오주에 오픈하는 누리치킨 콜롬버스 매장에 선보인다고 31일 밝혔다., https://www.technologyreview.kr/inside-japans-long-experiment-in-automating-elder-care/
29, [SF+AW 2023 PREVIEW] 지비드 고성능 3D 카메라 'Zivid Two', 지능형 빌딩 자동화 기술 시장 글로벌 전망 2023 ~ 2029: Siemens Building Technologies Inc.(스위스) Schneider Electric(프랑스) Honeywell International Inc.(미국)..., http://www.hellot.net/news/article.html?no=75029
30, Geek+ Boomi사와 스마트 물류 플랫폼 자동화 나선다, 질적 통계와 함께 이 연구에는 섬유 자동화 산업 성장 점유율 기회 평가 및 예상 연도 동안 섬유 자동화 시장 가치 측면에서 주목할만한 일부 세그먼트에 대한 설명 측정..., https://www.klnews.co.kr/news/articleView.html?idxno=306979
31, 로보아르테 조리 자동화 시스템 첫 해외 수출, 구글 클라우드 마켓플레이스에서 사용할 수 있는 앤서블 자동화 플랫폼은 자체 배포를 간소화해 처음부터 클라우드에 최적화된 자동화 기능에 바로 액세스..., https://news.mt.co.kr/mtview.php?no=2023013110184873959
32, 지능형 빌딩 자동화 기술 시장 글로벌 전망 2023 ~ 2029 ..., 제이브이엠 측은 약국 자동화 시스템에 대한 수요 증가에 따라 향후 매출 증가세가 고조될 것으로 전망하고 있다. 제이브이엠 관계자는 “코로나19 팬데믹..., https://www.kyeonginedu.com/news/%EC%A7%80%EB%8A%A5%ED%98%95-%EB%B9%8C%EB%94%A9-%EC%9E%90%EB%8F%99%ED%99%94-%EA%B8%B0%EC%88%A0-%EC%8B%9C%EC%9E%A5-%EA%B8%80%EB%A1%9C%EB%B2%8C-%EC%A0%84%EB%A7%9D-2023-2029-siemens-building-technologi/5244/
33, 섬유 시장 규모 및 비즈니스 개발의 글로벌 및 한국 자동화(2023 ..., 이번 실증은 기관 자동화시스템 중 고장진단 및 예측 시스템(CMB) 기술로 기술 개발 제품화 실증까지 이룬 첫 번째 성과다. 통합사업단은 인공지능 기반..., https://www.kyeonginedu.com/uncategorized/%EC%84%AC%EC%9C%A0-%EC%8B%9C%EC%9E%A5-%EA%B7%9C%EB%AA%A8-%EB%B0%8F-%EB%B9%84%EC%A6%88%EB%8B%88%EC%8A%A4-%EA%B0%9C%EB%B0%9C%EC%9D%98-%EA%B8%80%EB%A1%9C%EB%B2%8C-%EB%B0%8F-%ED%95%9C%EA%B5%AD-%EC%9E%90/3537/
34, 레드햇 구글 클라우드에도 IT자동화 솔루션 '앤서블 오토메이션 ..., 글로벌 및 한국 자동화 산업용 모니터 시장 상태 및 비즈니스 역학 예측 2023-2031 Rockwell Automation Siemens Axiomtek Barco. Mohit 2월 7 2023 1 min read., https://www.digitaltoday.co.kr/news/articleView.html?idxno=469641
35, 약국자동화 전문 '제이브이엠' 2022년 매출 1400억원 돌파, [디지털투데이 고성현 기자] 코윈테크가 자동화설비에서 배터리 공정 장비로 사업영역을 확대한다. 코윈테크는 지난 3일 '2차전지 Press Notching..., https://pharm.edaily.co.kr/news/read?newsId=03181606635481984
36, 자율운항선박 기관자동화 실증 성공 '상용화' 눈앞, [인더스트리뉴스] 제비 로봇(BionicSwift)이 가볍게 비행하며 행사장 내 수많은 사람들의 시선을 잡아끌었다. 세계적인 공장 자동화 기업 Festo가..., https://www.hellodd.com/news/articleView.html?idxno=99248
37, 글로벌 및 한국 자동화 산업용 모니터 시장 상태 및 비즈니스 ..., 인공지능(AI) 기반 RPA 구축 전문기업 레인보우브레인(대표 박현호)이 RPA(업무 처리 자동화)분야의 글로벌 리더인 오토메이션 애니웨어(Automation..., https://www.kyeonginedu.com/uncategorized/%EA%B8%80%EB%A1%9C%EB%B2%8C-%EB%B0%8F-%ED%95%9C%EA%B5%AD-%EC%9E%90%EB%8F%99%ED%99%94-%EC%82%B0%EC%97%85%EC%9A%A9-%EB%AA%A8%EB%8B%88%ED%84%B0-%EC%8B%9C%EC%9E%A5-%EC%83%81%ED%83%9C-%EB%B0%8F-%EB%B9%84/3536/
38, 코윈테크 노칭장비 개발...자동화 설비서 사업 영역 확대, 10일 방문한 이곳의 첫인상은 생물학과는 거리가 멀어 보였다. 자동화된 장비들이 제각기 분주하게 작업하는 장면은 오히려 반도체 연구소를 연상케 했다., https://www.digitaltoday.co.kr/news/articleView.html?idxno=469654
39, 훼스토 실시간 AI 'Festo AX'로 자동화 디지털라이제이션 가속화, [더스탁=김효진 기자] 공정자동화 전문기업 팸텍(대표이사 김재웅)이 상장예비심사를 통과하고 합병상장 절차를 본격화한다., https://www.industrynews.co.kr/news/articleView.html?idxno=48724
40, AI 기반 RPA 전문기업 '레인보우브레인' 오토메이션애니웨어 ..., 워크체인지가 잦은 소규모 작업장에서 활용할 수 있는 유연한 자동화 셀 개발을 통해 자동화 솔루션 확대에 역량을 집중하고 있다. 지난해부터 로봇 전문..., https://www.aitimes.kr/news/articleView.html?idxno=27318
41, [조간브리핑]생명연 '자동화 세포공장'을 가다, 아울러 회사는 이번에 신규로 설치되는 전 자동화 라인보다 생산성을 더 높이고 물류 자동화 시스템을 접목시켜 생산량 증대와 제조원가의 추가 절감을..., https://www.hellodd.com/news/articleView.html?idxno=99343
42, 공정자동화 전문 '팸텍' 코스닥 예심 통과…내달 말 스팩합병 ..., 프랜차이즈 브랜드들은 자동화 주방이 인건비를 절약할 뿐만 아니라 균일한 품질로 메뉴를 조리하는 등 매장 운영의 효율성을 높일 수 있어 도입을..., https://kr.investing.com/news/markets/article-877365
43, [SEN]스맥 로봇 자동화 솔루션 공급 확대 - 서울경제, 바이오 의약품 시장 의 글로벌 자동화는 2023-2029년 10년 동안 비즈니스 전략가에게 유용한 통찰력 있는 데이터 소스인 포괄적인 정보를 보여줍니다., https://m.sedaily.com/NewsView/29KIUWKYKI
44, 이오플로우 곤지암 공장에 이오패치 전 자동화 생산라인 설치, 이번 오므론 국제공인 LEVEL 1 인증시험은 오므론 산업 자동화와 PLC(Programmable Logic Controller) 이론 및 실습 등에 대한 평가로 진행됐다. 영남..., https://www.healthinnews.co.kr/news/articleView.html?idxno=35388
45, 외식 프랜차이즈 주방에 '자동화 바람' 비용은 줄이고 품질은 ..., 그러나 역부족이었다. 첫 번째 문제는 회사와 기술 사일로에 걸쳐 있는 잡다한 프로세스였다. 기존 포인트 자동화 솔루션(point automation solutions)이..., https://www.businesspost.co.kr/BP?command=article_view&num=304494
46, 바이오 의약품 시장의 자동화 2023 동향 최근 개발 및 2029년 ..., 완전자동화 항만은 컨테이너 자동 상·하역을 비롯해 안벽과 장치장 간의 화물 이송을 위한 세계적 수준의 완전 자동화 기술이 전국 최초로 개발·도입된다., https://www.kyeonginedu.com/uncategorized/%EB%B0%94%EC%9D%B4%EC%98%A4-%EC%9D%98%EC%95%BD%ED%92%88-%EC%8B%9C%EC%9E%A5%EC%9D%98-%EC%9E%90%EB%8F%99%ED%99%94-2023-%EB%8F%99%ED%96%A5-%EC%B5%9C%EA%B7%BC-%EA%B0%9C%EB%B0%9C-%EB%B0%8F-2029%EB%85%84/3267/
47, 영남이공대 학생 19명 오므론 산업자동화시스템 국제 자격인증 ..., 하지만 자동화의 비율이 낮아 용접 생산성의 병목으로 작용할 가능성이 아주 높다. 특히 이송/적재를 담당하는 작업자의 피로도 누적 및 집중도 저하는..., https://newsis.com/view/?id=NISX20230202_0002178331
48, '곳곳서 우여곡절' 기업들이 몸소 배운 자동화의 함정, (서울=연합인포맥스) 손지현 기자 = 신한은행이 금융권 최초로 디지털 기술을 활용해 현금과 골드바 등 현물을 자동화로 관리하는 '디지털 금고'를..., https://www.ciokorea.com/insider/273325
